RevenueHCPCSCd,Category1,Category2,Category3,Category2Rank,Category3Rank
99542,OUTPATIENT,ANCILLARY,HOME_HEALTH_OP,10.90,10.00
99543,OUTPATIENT,ANCILLARY,HOME_HEALTH_OP,10.90,10.00
99544,OUTPATIENT,ANCILLARY,HOME_HEALTH_OP,10.90,10.00
99545,OUTPATIENT,ANCILLARY,HOME_HEALTH_OP,10.90,10.00
99546,OUTPATIENT,ANCILLARY,HOME_HEALTH_OP,10.90,10.00
99547,OUTPATIENT,ANCILLARY,HOME_HEALTH_OP,10.90,10.00
99548,OUTPATIENT,ANCILLARY,HOME_HEALTH_OP,10.90,10.00
99549,OUTPATIENT,ANCILLARY,HOME_HEALTH_OP,10.90,10.00
99550,OUTPATIENT,ANCILLARY,HOME_HEALTH_OP,10.90,10.00
99551,OUTPATIENT,ANCILLARY,HOME_HEALTH_OP,10.90,10.00
99552,OUTPATIENT,ANCILLARY,HOME_HEALTH_OP,10.90,10.00
99553,OUTPATIENT,ANCILLARY,HOME_HEALTH_OP,10.90,10.00
99554,OUTPATIENT,ANCILLARY,HOME_HEALTH_OP,10.90,10.00
99555,OUTPATIENT,ANCILLARY,HOME_HEALTH_OP,10.90,10.00
99556,OUTPATIENT,ANCILLARY,HOME_HEALTH_OP,10.90,10.00
99557,OUTPATIENT,ANCILLARY,HOME_HEALTH_OP,10.90,10.00
99558,OUTPATIENT,ANCILLARY,HOME_HEALTH_OP,10.90,10.00
99559,OUTPATIENT,ANCILLARY,HOME_HEALTH_OP,10.90,10.00
99560,OUTPATIENT,ANCILLARY,HOME_HEALTH_OP,10.90,10.00
99561,OUTPATIENT,ANCILLARY,HOME_HEALTH_OP,10.90,10.00
99562,OUTPATIENT,ANCILLARY,HOME_HEALTH_OP,10.90,10.00
99563,OUTPATIENT,ANCILLARY,HOME_HEALTH_OP,10.90,10.00
99564,OUTPATIENT,ANCILLARY,HOME_HEALTH_OP,10.90,10.00
99565,OUTPATIENT,ANCILLARY,HOME_HEALTH_OP,10.90,10.00
99566,OUTPATIENT,ANCILLARY,HOME_HEALTH_OP,10.90,10.00
99567,OUTPATIENT,ANCILLARY,HOME_HEALTH_OP,10.90,10.00
99568,OUTPATIENT,ANCILLARY,HOME_HEALTH_OP,10.90,10.00
99569,OUTPATIENT,ANCILLARY,HOME_HEALTH_OP,10.90,10.00
99570,OUTPATIENT,ANCILLARY,HOME_HEALTH_OP,10.90,10.00
99571,OUTPATIENT,ANCILLARY,HOME_HEALTH_OP,10.90,10.00
99572,OUTPATIENT,ANCILLARY,HOME_HEALTH_OP,10.90,10.00
99573,OUTPATIENT,ANCILLARY,HOME_HEALTH_OP,10.90,10.00
99574,OUTPATIENT,ANCILLARY,HOME_HEALTH_OP,10.90,10.00
99575,OUTPATIENT,ANCILLARY,HOME_HEALTH_OP,10.90,10.00
99576,OUTPATIENT,ANCILLARY,HOME_HEALTH_OP,10.90,10.00
99577,OUTPATIENT,ANCILLARY,HOME_HEALTH_OP,10.90,10.00
99578,OUTPATIENT,ANCILLARY,HOME_HEALTH_OP,10.90,10.00
99579,OUTPATIENT,ANCILLARY,HOME_HEALTH_OP,10.90,10.00
99580,OUTPATIENT,ANCILLARY,HOME_HEALTH_OP,10.90,10.00
99581,OUTPATIENT,ANCILLARY,HOME_HEALTH_OP,10.90,10.00
99582,OUTPATIENT,ANCILLARY,HOME_HEALTH_OP,10.90,10.00
99583,OUTPATIENT,ANCILLARY,HOME_HEALTH_OP,10.90,10.00
99584,OUTPATIENT,ANCILLARY,HOME_HEALTH_OP,10.90,10.00
99585,OUTPATIENT,ANCILLARY,HOME_HEALTH_OP,10.90,10.00
99586,OUTPATIENT,ANCILLARY,HOME_HEALTH_OP,10.90,10.00
99587,OUTPATIENT,ANCILLARY,HOME_HEALTH_OP,10.90,10.00
99588,OUTPATIENT,ANCILLARY,HOME_HEALTH_OP,10.90,10.00
99589,OUTPATIENT,ANCILLARY,HOME_HEALTH_OP,10.90,10.00
99590,OUTPATIENT,ANCILLARY,HOME_HEALTH_OP,10.90,10.00
99591,OUTPATIENT,ANCILLARY,HOME_HEALTH_OP,10.90,10.00
99592,OUTPATIENT,ANCILLARY,HOME_HEALTH_OP,10.90,10.00
99593,OUTPATIENT,ANCILLARY,HOME_HEALTH_OP,10.90,10.00
99594,OUTPATIENT,ANCILLARY,HOME_HEALTH_OP,10.90,10.00
99595,OUTPATIENT,ANCILLARY,HOME_HEALTH_OP,10.90,10.00
99596,OUTPATIENT,ANCILLARY,HOME_HEALTH_OP,10.90,10.00
99597,OUTPATIENT,ANCILLARY,HOME_HEALTH_OP,10.90,10.00
99598,OUTPATIENT,ANCILLARY,HOME_HEALTH_OP,10.90,10.00
99599,OUTPATIENT,ANCILLARY,HOME_HEALTH_OP,10.90,10.00
99600,OUTPATIENT,ANCILLARY,HOME_HEALTH_OP,10.90,10.00
99601,OUTPATIENT,ANCILLARY,HOME_HEALTH_OP,10.90,10.00
99602,OUTPATIENT,ANCILLARY,HOME_HEALTH_OP,10.90,10.00
A0021,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0022,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0023,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0024,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0025,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0026,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0027,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0028,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0029,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0030,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0031,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0032,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0033,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0034,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0035,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0036,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0037,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0038,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0039,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0040,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0041,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0042,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0043,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0044,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0045,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0046,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0047,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0048,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0049,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0050,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0051,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0052,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0053,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0054,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0055,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0056,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0057,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0058,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0059,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0060,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0061,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0062,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0063,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0064,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0065,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0066,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0067,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0068,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0069,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0070,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0071,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0072,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0073,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0074,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0075,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0076,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0077,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0078,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0079,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0080,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0081,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0082,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0083,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0084,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0085,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0086,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0087,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0088,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0089,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0090,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0091,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0092,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0093,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0094,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0095,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0096,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0097,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0098,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0099,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0100,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0101,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0102,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0103,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0104,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0105,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0106,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0107,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0108,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0109,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0110,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0111,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0112,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0113,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0114,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0115,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0116,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0117,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0118,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0119,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0120,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0121,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0122,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0123,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0124,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0125,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0126,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0127,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0128,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0129,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0130,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0131,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0132,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0133,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0134,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0135,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0136,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0137,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0138,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0139,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0140,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0141,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0142,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0143,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0144,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0145,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0146,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0147,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0148,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0149,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0150,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0151,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0152,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0153,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0154,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0155,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0156,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0157,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0158,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0159,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0160,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0161,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0162,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0163,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0164,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0165,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0166,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0167,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0168,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0169,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0170,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0171,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0172,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0173,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0174,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0175,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0176,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0177,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0178,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0179,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0180,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0181,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0182,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0183,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0184,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0185,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0186,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0187,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0188,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0189,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0190,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0191,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0192,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0193,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0194,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0195,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0196,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0197,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0198,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0199,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0200,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0201,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0202,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0203,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0204,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0205,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0206,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0207,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0208,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0209,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0210,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0211,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0212,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0213,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0214,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0215,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0216,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0217,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0218,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0219,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0220,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0221,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0222,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0223,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0224,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0225,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0226,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0227,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0228,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0229,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0230,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0231,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0232,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0233,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0234,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0235,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
A0236,OUTPATIENT,ANCILLARY,AMBULANCE_OP,10.90,8.00
